b,bb,g,path,r
5.01030987442,-14.5823246236,-4.28543438831,ANd9GcQExPxKiafUCJYDkd3CeugMR3vtazHcpc7JiBbQKmUIGsWLsSrA.jpg,58.2413996828
1.97843091139,-8.25264643646,-1.35089693837,ANd9GcQf1VrdXdHtv7rpjiatXhN7lqLyvrggTks-LOHPonkqPwVywmG2lA.jpg,59.7145631292
22.4257670675,-9.80874764183,0.70956904466,ANd9GcQFAUn8o8vCg5JdN8_TMDE3D4kCHKuO851PjujeSQojyh2x12CT.jpg,32.6598890764
20.5170832199,-9.69952926691,32.3251383012,ANd9GcQFCFLbKjNda3iUiiwOrZa-Uk7-voxpxFCZ_IpRqsLstBJbTNDE.jpg,37.0455089045
16.6339082463,-15.0914143941,1.66007541063,ANd9GcQfhua9-COIt17xG2p6f47J4dgNjyZul2peHrstsAK-QmPXwP6QlA.jpg,42.6151830215
2.24954349731,0.423646222822,-3.6805348526,ANd9GcQFn22ol1aQZXQ-1nOUCxtxW10CcLhtE70_1Qro-ofW_7sTKOYq.jpg,68.4525186093
3.14151047787,-5.79029121572,-0.377549794792,ANd9GcQF_DtnDG6kDB3JsWN2sTcKFYB6SKXeC1AZ4gx7e6WfLLBu7R5ItA.jpg,47.4226918267
-8.1783669118,-9.03433990084,0.90593123141,ANd9GcQf_j9m1Ml9rNy-wO0VI5fjq08FyptF-qTc3xgZc_6DUJP7YNMF.jpg,43.9973221878
15.1499573838,-10.0749398547,100.266448311,ANd9GcQGbFoZJnts-CnU_98Q_QgKj7LBYJMekUryZs9tZjPaQJac9E2t.jpg,47.363157567
-32.6781007945,-24.743683901,-6.61301549015,ANd9GcQgCTRJROBCiF-kcOxAmwiKnb0UkY3aqtQOCPvuvoLOVwKXZqkw9A.jpg,51.5564383411
8.66750182771,-12.0992782504,5.09483080457,ANd9GcQgmqJQRrMjUgnv9Pq_IOyUuD-a02d_mvGV_g2NnulB9IcAc9gz.jpg,60.7142921777
2.1322729078,-14.1799099227,-16.1185496812,ANd9GcQgnAASYgfLOgX7h-lpdM1zHT02V3km28el7IgY3PEw2iHsoes5_Q.jpg,41.8719613848
